End Products
Sample,Barcode,"",Glucose Avg(g/L),Xylose Avg(g/L),Pyruvate Avg(g/L),Xylitol Avg(g/L),Succinate Avg(g/L),Lactate Avg(g/L),Glycerol Avg(g/L),Formate Avg(g/L),Acetate Avg(g/L),Ethanol Avg(g/L),Cellobiose Avg(g/L)
20200121-f-163,I0047572,"",0.0,0.1904008712,0.0,0.0,0.0,0.1274190608,0.3105854967,0.7230848097,0.0,0.0458585387,0.0
20200121-t-164,I0044223,"",0.0,0.1902282217,0.0,0.0,0.0,0.1500967008,0.3243161157,0.0,0.0,3.4274145059999995393,0.0
20200121-f-164,I0043868,"",0.0,0.1828057945,0.0,0.0,0.0,0.171237576,0.3618289772,0.0,0.0,0.0876790419,0.0
20200121-BL-BL,I0047482,"",24.285847248,0.0,0.0,0.0,0.0,0.1287414352,0.2921674967,0.7229255459,0.0,0.0446040526,0.0

Technical Replicate Summary
Sample,Barcode,Transfer_Sample,Glucose(g/L),Xylose(g/L),Pyruvate(g/L),Xylitol(g/L),Succinate(g/L),Lactate(g/L),Glycerol(g/L),Formate(g/L),Acetate(g/L),Ethanol(g/L),Cellobiose(g/L)
20200121-t-23,I0035532,T0052477,24.8212683552,0.0,0.0,0.0,0.0,0.1275208512,0.2939715398,0.7215455665,0.0,0.1170873657,0.0
20200121-f-23,I0035533,T0052500,23.5426584224,0.0,0.0,0.0,0.0,0.1282495984,0.2928379119,0.7206562669,0.0,0.1445335682,0.0
20200121-t-143,I0047570,T0052489,0.0,0.1952966105,0.0,0.0,0.0,0.0,0.7741527432,0.0,0.50416018368,6.1837849095,0.0
20200121-f-143,I0047485,T0052490,0.0,0.1978698387,0.0,0.0,0.0,0.0,0.84796103639999981582,0.0,0.59084504184,6.9067872187,0.0
20200121-t-144,I0047529,T0052480,0.0,0.1960427566,0.0,0.0,0.0,0.1277325392,0.3878361141,0.0,0.0,5.7856829827,0.0
20200121-f-144,I0047527,T0052479,0.0,0.1764688072,0.0,0.0,0.0,0.127472208,0.3846672972,0.0,0.43344554664,2.1426152674,0.0
20200121-t-148,I0047523,T0052468,11.2222690912,0.0,0.0,0.0,0.0909954304,0.1357568656,0.5315029604,0.0,0.0,0.9814066357,0.0
20200121-f-148,I0047507,T0052447,18.8950132512,0.0,0.0,0.0,0.0,0.0,0.3190494886,0.7195984975,0.0,0.0476161092,0.0
20200121-t-149,I0047559,T0052458,0.0,0.2120526198,0.0,0.0,0.0,0.1311375632,0.2930598488,0.0,2.91201937712,2.610289344,0.0
20200121-f-149,I0047531,T0052408,0.0,0.1918856569,0.0,0.0,0.0,0.1387745456,0.2926601782,0.7213209401,0.0,0.0,0.0
20200121-t-150,I0047658,T0052475,0.0,0.2007178048,0.0,0.0,0.0,0.1280766448,0.3371405691,0.0,0.17416385812,4.8829763459,0.0
20200121-f-150,I0047532,T0052476,3.0763328896,0.0,0.0,0.0,0.0075128858,0.0,0.3441062567,0.7190571847,0.46050541184,0.7173117428,0.0
20200121-t-151,I0047666,T0052487,0.0,0.220060554,0.0,0.0,0.0,0.1282405904,0.3382134176,0.0,0.00920673092,3.7157979636,0.0
20200121-f-151,I0047587,T0052498,0.0,0.2129533998,0.0,0.0,0.0,0.127787488,0.3204032116,0.7201863006,0.03341831356,0.6883710295,0.0
20200121-t-152,I0047479,T0052466,0.0,0.1871250346,0.0,0.0,0.0,0.1289062816,0.2960408021,0.7208242764,0.07365325692,1.441917288,0.0
20200121-f-152,I0047760,T0052457,0.0,0.1897027667,0.0,0.0,0.0,0.1315267088,0.2942082111,0.7211892943,0.0,0.045098844400000004607,0.0
20200121-t-153,I0047623,T0052467,0.7041355424,0.1974629864,0.055429367,0.0,0.0,0.0,1.2419146892,0.0,0.0062645684,4.4281576421,0.0
20200121-f-153,I0047562,T0052478,15.0990096224000018016,0.0,0.0,0.0,0.0,0.0,0.7007800357,0.0,0.0,0.9589811418,0.0
20200121-t-154,I0047655,T0052499,0.0,0.1896877537,0.0,0.0,0.0,0.1490310544,0.5566637902,0.0,0.14049578844,6.0573034101,0.0
20200121-f-154,I0047543,T0052488,0.0,0.1735577865,0.0,0.0,0.0,0.0,0.7500794963,0.0,0.550980894800000059044,1.7138956793,0.0
20200121-t-155,I0047509,T0052440,0.0,0.1948972647,0.0,0.0,0.0,0.1357496592,0.2924373204,0.7267667494,1.31790872476,1.7145544803,0.0
20200121-f-155,I0047551,T0052428,4.5314221536,0.0,0.0,0.0,0.0,0.1316726384,0.0,0.7194815813,2.60392542336,0.0480063221,0.0
20200121-t-156,I0047520,T0052416,0.0,0.1876114558,0.0,0.0,0.0,0.0,0.319036596,0.0,0.18352823652,4.0770756787,0.0
20200121-f-156,I0047803,T0052417,0.5034517152,0.0,0.0,0.0,0.0,0.0,0.2985484128,0.7192638594,0.0,0.2532486328,0.0
20200121-t-157,I0047614,T0052406,0.0,0.1794623994,0.0,0.0,0.0,0.1274073504,0.3152406462,0.7199110412,0.43584096172,2.8205463742,0.0
20200121-f-157,I0047710,T0052407,0.0,0.1836225017,0.0,0.0,0.0,0.128999064,0.2932891529,0.7199395798,0.0,0.0909403372,0.0
20200121-t-159,I0047742,T0052429,0.0,0.1857168152,0.0,0.0,0.0,0.13674144,0.565948304,0.0,0.0,4.2303791321000004607,0.0
20200121-f-159,I0047649,T0052430,0.0,0.1967828975,0.409606687,0.0,0.4864339662,0.1583714496,0.89826796159999990791,0.0,0.48192952724,9.6974820757,0.0
